date_obj,Bones%20to%20peaches%20(tablet) price
2019-01-31,1004
2019-02-01,1011
2019-02-02,1029
2019-02-03,1041
2019-02-04,1041
2019-02-05,1017
2019-02-06,971
2019-02-07,935
2019-02-08,931
2019-02-09,903
2019-02-10,896
2019-02-11,871
2019-02-12,877
2019-02-13,897
2019-02-14,897
2019-02-15,893
2019-02-16,871
2019-02-17,830
2019-02-18,802
2019-02-19,797
2019-02-20,781
2019-02-21,791
2019-02-22,818
2019-02-23,808
2019-02-24,785
2019-02-25,778
2019-02-26,742
2019-02-27,728
2019-02-28,728
2019-03-01,698
2019-03-02,722
2019-03-03,755
2019-03-04,793
2019-03-05,826
2019-03-06,811
2019-03-07,785
2019-03-08,785
2019-03-09,782
2019-03-10,813
2019-03-11,838
2019-03-12,859
2019-03-13,859
2019-03-14,881
2019-03-15,877
2019-03-16,885
2019-03-17,871
2019-03-18,871
2019-03-19,865
2019-03-20,872
2019-03-21,868
2019-03-22,870
2019-03-23,881
2019-03-24,886
2019-03-25,886
2019-03-26,908
2019-03-27,908
2019-03-28,893
2019-03-29,911
2019-03-30,911
2019-03-31,930
2019-04-01,936
2019-04-02,930
2019-04-03,915
2019-04-04,904
2019-04-05,882
2019-04-06,882
2019-04-07,857
2019-04-08,816
2019-04-09,793
2019-04-10,763
2019-04-11,761
2019-04-12,792
2019-04-13,818
2019-04-14,817
2019-04-15,805
2019-04-16,802
2019-04-17,800
2019-04-18,792
2019-04-19,791
2019-04-20,795
2019-04-21,795
2019-04-22,802
2019-04-23,812
2019-04-24,811
2019-04-25,796
2019-04-26,783
2019-04-27,775
2019-04-28,777
2019-04-29,777
2019-04-30,771
2019-05-01,771
2019-05-02,774
2019-05-03,774
2019-05-04,792
2019-05-05,784
2019-05-06,799
2019-05-07,801
2019-05-08,796
2019-05-09,796
2019-05-10,783
2019-05-11,787
2019-05-12,822
2019-05-13,816
2019-05-14,803
2019-05-15,803
2019-05-16,786
2019-05-17,786
2019-05-18,785
2019-05-19,785
2019-05-20,783
2019-05-21,783
2019-05-22,777
