date_obj,Yellow%20hat price
2019-02-07,985
2019-02-08,985
2019-02-09,1003
2019-02-10,1003
2019-02-11,967
2019-02-12,967
2019-02-13,945
2019-02-14,945
2019-02-15,940
2019-02-16,940
2019-02-17,952
2019-02-18,952
2019-02-19,931
2019-02-20,931
2019-02-21,893
2019-02-22,893
2019-02-23,893
2019-02-24,893
2019-02-25,893
2019-02-26,893
2019-02-27,867
2019-02-28,867
2019-03-01,887
2019-03-02,887
2019-03-03,862
2019-03-04,862
2019-03-05,833
2019-03-06,833
2019-03-07,833
2019-03-08,817
2019-03-09,817
2019-03-10,817
2019-03-11,797
2019-03-12,797
2019-03-13,797
2019-03-14,780
2019-03-15,780
2019-03-16,780
2019-03-17,796
2019-03-18,796
2019-03-19,796
2019-03-20,791
2019-03-21,791
2019-03-22,791
2019-03-23,798
2019-03-24,798
2019-03-25,798
2019-03-26,810
2019-03-27,810
2019-03-28,810
2019-03-29,819
2019-03-30,819
2019-03-31,819
2019-04-01,819
2019-04-02,825
2019-04-03,825
2019-04-04,825
2019-04-05,843
2019-04-06,843
2019-04-07,843
2019-04-08,874
2019-04-09,874
2019-04-10,874
2019-04-11,874
2019-04-12,889
2019-04-13,889
2019-04-14,912
2019-04-15,912
2019-04-16,912
2019-04-17,938
2019-04-18,938
2019-04-19,938
2019-04-20,955
2019-04-21,955
2019-04-22,955
2019-04-23,950
2019-04-24,950
2019-04-25,950
2019-04-26,985
2019-04-27,985
2019-04-28,985
2019-04-29,985
2019-04-30,985
2019-05-01,985
2019-05-02,985
2019-05-03,985
2019-05-04,985
2019-05-05,1012
2019-05-06,1012
2019-05-07,1012
2019-05-08,972
2019-05-09,972
2019-05-10,972
2019-05-11,941
2019-05-12,941
2019-05-13,936
2019-05-14,936
2019-05-15,936
2019-05-16,972
2019-05-17,972
2019-05-18,972
2019-05-19,977
2019-05-20,977
2019-05-21,977
2019-05-22,977
2019-05-23,1000
2019-05-24,1000
2019-05-25,1000
2019-05-26,1009
2019-05-27,1009
2019-05-28,982
2019-05-29,982
2019-05-30,982
2019-05-31,998
