date_obj,Tuna%20potato price
2018-05-06,911
2018-05-07,906
2018-05-08,893
2018-05-09,891
2018-05-10,903
2018-05-11,920
2018-05-12,935
2018-05-13,901
2018-05-14,894
2018-05-15,928
2018-05-16,918
2018-05-17,886
2018-05-18,876
2018-05-19,893
2018-05-20,912
2018-05-21,931
2018-05-22,943
2018-05-23,928
2018-05-24,916
2018-05-25,904
2018-05-26,886
2018-05-27,896
2018-05-28,902
2018-05-29,899
2018-05-30,913
2018-05-31,896
2018-06-01,897
2018-06-02,907
2018-06-03,929
2018-06-04,974
2018-06-05,997
2018-06-06,998
2018-06-07,974
2018-06-08,931
2018-06-09,925
2018-06-10,895
2018-06-11,886
2018-06-12,881
2018-06-13,886
2018-06-14,882
2018-06-15,927
2018-06-16,968
2018-06-17,1004
2018-06-18,1019
2018-06-19,1029
2018-06-20,1029
2018-06-21,1012
2018-06-22,972
2018-06-23,983
2018-06-24,1006
2018-06-25,1053
2018-06-26,1044
2018-06-27,1043
2018-06-28,1046
2018-06-29,1065
2018-06-30,1092
2018-07-01,1110
2018-07-02,1135
2018-07-03,1163
2018-07-04,1194
2018-07-05,1162
2018-07-06,1131
2018-07-07,1098
2018-07-08,1089
2018-07-09,1119
2018-07-10,1168
2018-07-11,1167
2018-07-12,1131
2018-07-13,1136
2018-07-14,1155
2018-07-15,1203
2018-07-16,1250
2018-07-17,1304
2018-07-18,1295
2018-07-19,1243
2018-07-20,1241
2018-07-21,1274
2018-07-22,1289
2018-07-23,1273
2018-07-24,1293
2018-07-25,1324
2018-07-26,1304
2018-07-27,1278
2018-07-28,1296
2018-07-29,1251
2018-07-30,1206
2018-07-31,1178
2018-08-01,1189
2018-08-02,1212
2018-08-03,1223
2018-08-04,1240
2018-08-05,1204
2018-08-06,1196
2018-08-07,1210
2018-08-08,1235
2018-08-09,1228
2018-08-10,1245
2018-08-11,1218
2018-08-12,1201
2018-08-14,1174
2018-08-16,1185
2018-08-17,1196
2018-08-18,1203
2018-08-19,1199
2018-08-20,1211
2018-08-21,1243
2018-08-22,1242
2018-08-23,1285
2018-08-24,1291
2018-08-25,1293
2018-08-26,1253
2018-08-27,1267
2018-08-28,1281
2018-08-29,1287
2018-08-30,1294
2018-08-31,1279
2018-09-01,1291
2018-09-02,1285
2018-09-03,1285
2018-09-04,1274
2018-09-05,1252
2018-09-06,1252
2018-09-07,1227
2018-09-08,1195
2018-09-09,1196
2018-09-10,1179
2018-09-11,1152
2018-09-12,1165
2018-09-13,1193
2018-09-14,1177
2018-09-15,1164
2018-09-16,1166
2018-09-17,1151
2018-09-18,1173
2018-09-19,1185
2018-09-20,1203
2018-09-21,1224
2018-09-22,1220
2018-09-23,1221
2018-09-24,1218
2018-09-25,1199
2018-09-26,1171
2018-09-27,1167
2018-09-28,1160
2018-09-29,1196
2018-09-30,1246
2018-10-02,1235
2018-10-03,1233
2018-10-04,1238
2018-10-05,1244
2018-10-06,1231
2018-10-07,1208
2018-10-08,1192
2018-10-09,1179
2018-10-10,1155
2018-10-11,1155
2018-10-12,1140
2018-10-13,1166
2018-10-14,1159
2018-10-15,1148
2018-10-16,1138
2018-10-17,1167
2018-10-18,1177
2018-10-19,1159
2018-10-20,1145
2018-10-21,1152
2018-10-22,1156
2018-10-23,1152
2018-10-24,1165
2018-10-25,1211
2018-10-26,1248
2018-10-27,1260
2018-10-28,1302
2018-10-29,1354
2018-10-30,1357
2018-10-31,1320
2018-11-01,1261
2018-11-03,1160
2018-11-04,1120
2018-11-05,1111
2018-11-06,1095
2018-11-07,1111
2018-11-08,1137
2018-11-09,1165
2018-11-10,1169
2018-11-11,1152
2018-11-12,1118
2018-11-13,1092
2018-11-14,1113
2018-11-15,1143
2018-11-16,1107
2018-11-17,1118
2018-11-18,1126
2018-11-19,1108
2018-11-20,1086
2018-11-21,1091
2018-11-22,1127
2018-11-23,1176
2018-11-24,1204
2018-11-25,1207
2018-11-26,1220
2018-11-27,1202
2018-11-28,1183
2018-11-29,1139
2018-12-01,1123
2018-12-02,1142
2018-12-03,1136
2018-12-04,1149
2018-12-05,1162
2018-12-07,1146
2018-12-09,1140
2018-12-10,1168
2018-12-11,1160
2018-12-12,1151
2018-12-13,1155
2018-12-14,1181
2018-12-15,1186
2018-12-16,1228
2018-12-17,1197
2018-12-18,1202
2018-12-19,1185
2018-12-20,1205
2018-12-21,1189
2018-12-22,1187
2018-12-23,1179
2018-12-24,1171
2018-12-25,1176
2018-12-26,1176
2018-12-27,1185
2018-12-28,1195
2018-12-29,1193
2018-12-30,1163
2018-12-31,1153
2019-01-01,1142
2019-01-02,1119
2019-01-03,1154
2019-01-04,1181
2019-01-05,1208
2019-01-06,1229
2019-01-08,1220
2019-01-10,1218
2019-01-11,1279
2019-01-12,1317
2019-01-13,1343
2019-01-14,1375
2019-01-15,1349
2019-01-16,1329
2019-01-17,1314
2019-01-18,1295
2019-01-19,1261
2019-01-20,1216
2019-01-21,1199
2019-01-22,1249
2019-01-23,1253
2019-01-24,1234
2019-01-25,1219
2019-01-26,1218
2019-01-27,1255
2019-01-28,1298
2019-01-29,1243
2019-01-30,1188
2019-01-31,1149
2019-02-01,1134
2019-02-02,1113
2019-02-03,1082
2019-02-04,1057
2019-02-05,1062
2019-02-06,1072
2019-02-07,1065
2019-02-08,1109
2019-02-09,1100
2019-02-10,1089
2019-02-11,1083
2019-02-12,1074
2019-02-13,1070
2019-02-14,1071
2019-02-15,1065
2019-02-16,1075
2019-02-17,1103
2019-02-18,1117
2019-02-19,1115
2019-02-20,1105
2019-02-21,1096
2019-02-22,1111
2019-02-23,1087
2019-02-24,1101
2019-02-25,1101
2019-02-26,1082
2019-02-27,1075
2019-02-28,1077
2019-03-01,1098
2019-03-02,1103
2019-03-03,1128
2019-03-04,1116
2019-03-05,1101
2019-03-06,1096
2019-03-07,1096
2019-03-08,1092
2019-03-09,1117
2019-03-10,1107
2019-03-11,1134
2019-03-12,1138
2019-03-13,1107
2019-03-14,1110
2019-03-15,1099
2019-03-16,1088
2019-03-17,1086
2019-03-18,1095
2019-03-19,1105
2019-03-20,1116
2019-03-21,1110
2019-03-22,1120
2019-03-23,1107
2019-03-24,1117
2019-03-25,1086
2019-03-26,1068
2019-03-27,1087
2019-03-28,1102
2019-03-29,1126
2019-03-30,1121
2019-03-31,1090
2019-04-01,1087
2019-04-02,1109
2019-04-03,1129
2019-04-04,1139
2019-04-05,1117
2019-04-06,1106
2019-04-07,1148
2019-04-08,1148
2019-04-09,1112
2019-04-10,1133
2019-04-11,1120
2019-04-12,1102
2019-04-13,1093
2019-04-14,1096
2019-04-15,1087
