date_obj,Desert%20legs price
2019-02-18,928
2019-02-19,934
2019-02-20,934
2019-02-21,919
2019-02-22,919
2019-02-23,915
2019-02-24,915
2019-02-25,925
2019-02-26,925
2019-02-27,951
2019-02-28,951
2019-03-01,983
2019-03-02,983
2019-03-03,978
2019-03-04,978
2019-03-05,998
2019-03-06,998
2019-03-07,995
2019-03-08,995
2019-03-09,995
2019-03-10,1009
2019-03-11,1009
2019-03-12,1029
2019-03-13,1029
2019-03-14,1047
2019-03-15,1047
2019-03-16,1081
2019-03-17,1093
2019-03-18,1093
2019-03-19,1093
2019-03-20,1085
2019-03-21,1085
2019-03-22,1085
2019-03-23,1108
2019-03-24,1108
2019-03-25,1089
2019-03-26,1089
2019-03-27,1134
2019-03-28,1134
2019-03-29,1171
2019-03-30,1171
2019-03-31,1171
2019-04-01,1124
2019-04-02,1124
2019-04-03,1126
2019-04-04,1126
2019-04-05,1154
2019-04-06,1154
2019-04-07,1197
2019-04-08,1197
2019-04-09,1228
2019-04-10,1228
2019-04-11,1269
2019-04-12,1269
2019-04-13,1271
2019-04-14,1271
2019-04-15,1271
2019-04-16,1238
2019-04-17,1238
2019-04-18,1226
2019-04-19,1226
2019-04-20,1173
2019-04-21,1173
2019-04-22,1116
2019-04-23,1116
2019-04-24,1060
2019-04-25,1060
2019-04-26,1017
2019-04-27,1017
2019-04-28,978
2019-04-29,978
2019-04-30,935
2019-05-01,935
2019-05-02,935
2019-05-03,894
2019-05-04,894
2019-05-05,882
2019-05-06,882
2019-05-07,872
2019-05-08,872
2019-05-09,872
2019-05-10,851
2019-05-11,851
2019-05-12,809
2019-05-13,809
2019-05-14,768
2019-05-15,768
2019-05-16,766
2019-05-17,766
2019-05-18,730
2019-05-19,730
2019-05-20,730
2019-05-21,730
2019-05-22,730
2019-05-23,733
2019-05-24,733
2019-05-25,769
2019-05-26,769
2019-05-27,803
2019-05-28,803
2019-05-29,831
2019-05-30,831
2019-05-31,831
2019-06-01,849
2019-06-02,849
2019-06-03,880
2019-06-04,880
2019-06-05,913
2019-06-06,913
2019-06-07,913
2019-06-08,932
2019-06-09,932
2019-06-10,932
2019-06-11,953
2019-06-12,953
2019-06-13,953
2019-06-14,968
2019-06-15,968
2019-06-16,1015
2019-06-17,1015
2019-06-18,1015
2019-06-19,1032
2019-06-20,1032
2019-06-21,1049
2019-06-22,1049
2019-06-23,1061
2019-06-24,1061
2019-06-25,1061
2019-06-26,1041
2019-06-27,1041
2019-06-28,1041
2019-06-29,1073
2019-06-30,1073
2019-07-01,1073
2019-07-02,1084
2019-07-03,1084
2019-07-04,1084
2019-07-05,1136
