date_obj,Rock-shell%20helm price
2018-11-05,23861
2018-11-06,23861
2018-11-07,23861
2018-11-08,23861
2018-11-09,23861
2018-11-10,23743
2018-11-11,23743
2018-11-12,23743
2018-11-13,24035
2018-11-14,24035
2018-11-15,24035
2018-11-16,24035
2018-11-17,24256
2018-11-18,24256
2018-11-19,24256
2018-11-20,24256
2018-11-21,24036
2018-11-22,24036
2018-11-23,24036
2018-11-24,24036
2018-11-25,23989
2018-11-26,23989
2018-11-27,23989
2018-11-28,23989
2018-11-29,23385
2018-12-01,23385
2018-12-02,23448
2018-12-03,23448
2018-12-04,23448
2018-12-05,23448
2018-12-07,23758
2018-12-09,23257
2018-12-10,23257
2018-12-11,23257
2018-12-12,23135
2018-12-13,23135
2018-12-14,23135
2018-12-15,23320
2018-12-16,23320
2018-12-17,23320
2018-12-18,22290
2018-12-19,22290
2018-12-20,22290
2018-12-21,22195
2018-12-22,22195
2018-12-23,22195
2018-12-24,22195
2018-12-25,23081
2018-12-26,23081
2018-12-27,23081
2018-12-28,23081
2018-12-29,22887
2018-12-30,22887
2018-12-31,22887
2019-01-01,22887
2019-01-02,22321
2019-01-03,22321
2019-01-04,22321
2019-01-05,22321
2019-01-06,21729
2019-01-08,21729
2019-01-10,21413
2019-01-11,21413
2019-01-12,21413
2019-01-13,21413
2019-01-14,21309
2019-01-15,21309
2019-01-16,21309
2019-01-17,21309
2019-01-18,21472
2019-01-19,21472
2019-01-20,21472
2019-01-21,21248
2019-01-22,21248
2019-01-23,21248
2019-01-24,21248
2019-01-25,21081
2019-01-26,21081
2019-01-27,21081
2019-01-28,21081
2019-01-29,21863
2019-01-30,21863
2019-01-31,21863
2019-02-01,21863
2019-02-02,21017
2019-02-03,21017
2019-02-04,21017
2019-02-05,21017
2019-02-06,20949
2019-02-07,20949
2019-02-08,20949
2019-02-09,21116
2019-02-10,21116
2019-02-11,21116
2019-02-12,21116
2019-02-13,21465
2019-02-14,21465
2019-02-15,21465
2019-02-16,21406
2019-02-17,21406
2019-02-18,21406
2019-02-19,21406
2019-02-20,21538
2019-02-21,21538
2019-02-22,21538
2019-02-23,21538
2019-02-24,21942
2019-02-25,21942
2019-02-26,21942
2019-02-27,21942
2019-02-28,21942
2019-03-01,21942
2019-03-02,21942
2019-03-03,21942
2019-03-04,21767
2019-03-05,21767
2019-03-06,21767
2019-03-07,21767
2019-03-08,22145
2019-03-09,22145
2019-03-10,22145
2019-03-11,22145
2019-03-12,22517
2019-03-13,22517
2019-03-14,22517
2019-03-15,22517
2019-03-16,22517
2019-03-17,22878
2019-03-18,22878
2019-03-19,22878
2019-03-20,22878
2019-03-21,22878
2019-03-22,23607
2019-03-23,23607
2019-03-24,23607
