date_obj,Ham%20hood price
2019-03-06,270
2019-03-07,269
2019-03-08,259
2019-03-09,262
2019-03-10,258
2019-03-11,266
2019-03-12,267
2019-03-13,271
2019-03-14,276
2019-03-15,278
2019-03-16,279
2019-03-17,281
2019-03-18,285
2019-03-19,292
2019-03-20,297
2019-03-21,299
2019-03-22,301
2019-03-23,298
2019-03-24,298
2019-03-25,289
2019-03-26,285
2019-03-27,281
2019-03-28,280
2019-03-29,280
2019-03-30,273
2019-03-31,272
2019-04-01,272
2019-04-02,273
2019-04-03,271
2019-04-04,274
2019-04-05,278
2019-04-06,279
2019-04-07,275
2019-04-08,273
2019-04-09,272
2019-04-10,268
2019-04-11,262
2019-04-12,261
2019-04-13,259
2019-04-14,259
2019-04-15,255
2019-04-16,253
2019-04-17,246
2019-04-18,242
2019-04-19,236
2019-04-20,231
2019-04-21,223
2019-04-22,219
2019-04-23,214
2019-04-24,213
2019-04-25,211
2019-04-26,213
2019-04-27,217
2019-04-28,219
2019-04-29,217
2019-04-30,217
2019-05-01,221
2019-05-02,223
2019-05-03,222
2019-05-04,218
2019-05-05,214
2019-05-06,216
2019-05-07,214
2019-05-08,214
2019-05-09,214
2019-05-10,208
2019-05-11,209
2019-05-12,206
2019-05-13,201
2019-05-14,197
2019-05-15,196
2019-05-16,194
2019-05-17,195
2019-05-18,194
2019-05-19,197
2019-05-20,199
2019-05-21,197
2019-05-22,196
2019-05-23,196
2019-05-24,193
2019-05-25,191
2019-05-26,188
2019-05-27,191
2019-05-28,191
2019-05-29,189
2019-05-30,191
2019-05-31,193
2019-06-01,199
2019-06-02,206
2019-06-03,210
2019-06-04,209
2019-06-05,212
2019-06-06,210
2019-06-07,203
2019-06-08,198
2019-06-09,192
2019-06-10,193
2019-06-11,195
2019-06-12,199
2019-06-13,200
2019-06-14,200
2019-06-15,198
2019-06-16,195
2019-06-17,195
2019-06-18,193
2019-06-19,193
2019-06-20,189
2019-06-21,192
2019-06-22,192
2019-06-23,193
2019-06-24,194
2019-06-25,194
2019-06-26,196
2019-06-27,199
2019-06-28,200
2019-06-29,203
2019-06-30,206
2019-07-01,211
2019-07-02,216
2019-07-03,218
2019-07-04,219
2019-07-05,220
2019-07-06,221
2019-07-07,218
2019-07-08,212
2019-07-09,213
2019-07-10,207
2019-07-11,205
2019-07-12,201
2019-07-13,200
2019-07-14,196
2019-07-15,192
2019-07-16,191
2019-07-17,189
2019-07-18,185
2019-07-19,182
2019-07-20,178
