date_obj,Red%20headband price
2019-02-05,2102
2019-02-06,2102
2019-02-07,1999
2019-02-08,1999
2019-02-09,1942
2019-02-10,1942
2019-02-11,2013
2019-02-12,2013
2019-02-13,2010
2019-02-14,2010
2019-02-15,1980
2019-02-16,2001
2019-02-17,2001
2019-02-18,2023
2019-02-19,2023
2019-02-20,1984
2019-02-21,1893
2019-02-22,1893
2019-02-23,1846
2019-02-24,1858
2019-02-25,1816
2019-02-26,1741
2019-02-27,1741
2019-02-28,1741
2019-03-01,1662
2019-03-02,1611
2019-03-03,1588
2019-03-04,1553
2019-03-05,1573
2019-03-06,1523
2019-03-07,1458
2019-03-08,1458
2019-03-09,1418
2019-03-10,1373
2019-03-11,1360
2019-03-12,1317
2019-03-13,1317
2019-03-14,1268
2019-03-15,1268
2019-03-16,1238
2019-03-17,1240
2019-03-18,1240
2019-03-19,1257
2019-03-20,1273
2019-03-21,1236
2019-03-22,1236
2019-03-23,1226
2019-03-24,1257
2019-03-25,1257
2019-03-26,1290
2019-03-27,1290
2019-03-28,1307
2019-03-29,1295
