date_obj,Treasonous%20ring price
2018-09-08,750924
2018-09-09,748785
2018-09-10,748785
2018-09-11,725862
2018-09-12,725862
2018-09-13,705944
2018-09-14,705944
2018-09-15,705378
2018-09-16,705378
2018-09-17,726195
2018-09-18,726195
2018-09-19,731669
2018-09-20,731669
2018-09-21,739890
2018-09-22,774883
2018-09-23,774883
2018-09-24,804428
2018-09-25,804428
2018-09-26,779217
2018-09-27,779217
2018-09-28,759265
2018-09-29,759265
2018-09-30,782653
2018-10-02,768429
2018-10-03,768434
2018-10-04,768434
2018-10-05,768434
2018-10-06,757415
2018-10-07,757415
2018-10-08,721858
2018-10-09,721858
2018-10-10,702571
2018-10-11,702571
2018-10-12,690025
2018-10-13,685292
2018-10-14,685292
2018-10-15,684057
2018-10-16,684057
2018-10-17,697371
2018-10-18,697371
2018-10-19,730126
2018-10-20,730126
2018-10-21,734168
2018-10-22,734168
2018-10-23,740630
2018-10-24,740630
2018-10-25,771919
2018-10-26,771919
2018-10-27,794041
2018-10-28,824394
2018-10-29,824394
2018-10-30,857907
2018-10-31,857907
2018-11-01,888325
2018-11-03,860050
2018-11-04,860050
2018-11-05,829007
2018-11-06,829007
2018-11-07,793302
2018-11-08,793302
2018-11-09,763845
2018-11-10,761149
2018-11-11,761149
2018-11-12,772562
2018-11-13,785750
2018-11-14,785750
2018-11-15,824538
2018-11-16,865765
2018-11-17,865765
2018-11-18,882383
2018-11-19,882383
2018-11-20,847841
2018-11-21,847841
2018-11-22,830344
2018-11-23,830344
2018-11-24,839331
2018-11-25,858958
2018-11-26,858958
2018-11-27,888599
2018-11-28,888599
2018-11-29,915964
2018-12-01,950385
2018-12-02,992881
2018-12-03,992881
2018-12-04,996591
2018-12-05,993354
2018-12-07,959506
2018-12-09,976893
2018-12-10,1008188
2018-12-11,1008188
2018-12-13,974712
2018-12-14,974712
2018-12-15,944899
2018-12-16,912202
2018-12-17,912202
2018-12-18,925069
2018-12-19,965989
2018-12-20,1003563
2018-12-21,1051707
2018-12-22,1051707
2018-12-23,1070856
2018-12-24,1090705
2018-12-25,1090705
2018-12-26,1102312
2018-12-27,1048274
2018-12-28,1048274
2018-12-29,1025796
2018-12-30,1025796
2018-12-31,997279
2019-01-01,997279
2019-01-02,983103
2019-01-03,974541
2019-01-04,974541
2019-01-05,1004561
2019-01-06,1054244
2019-01-08,1106957
2019-01-10,1093194
2019-01-11,1038534
2019-01-12,986607
2019-01-13,937276
2019-01-14,890412
2019-01-15,845891
2019-01-16,803696
2019-01-17,763511
2019-01-18,725335
2019-01-19,689586
2019-01-20,702077
2019-01-21,702077
2019-01-22,704880
2019-01-23,700557
2019-01-24,700557
2019-01-25,713589
2019-01-26,715383
2019-01-27,710781
2019-01-28,708189
2019-01-29,703943
2019-01-30,722979
2019-01-31,722979
2019-02-01,718437
2019-02-02,718437
2019-02-03,691960
2019-02-04,691960
2019-02-05,674137
2019-02-06,674137
2019-02-07,652744
2019-02-08,649063
2019-02-09,661195
2019-02-10,650547
2019-02-11,650547
2019-02-12,623332
2019-02-13,596026
2019-02-14,596026
2019-02-15,580758
2019-02-16,575905
2019-02-17,575905
2019-02-18,578821
2019-02-19,578821
2019-02-20,596579
2019-02-21,581470
2019-02-22,581470
2019-02-23,552396
2019-02-24,527006
2019-02-25,501794
2019-02-26,501794
2019-02-27,487033
2019-02-28,487033
2019-03-01,492536
2019-03-02,500918
2019-03-03,505444
2019-03-04,503405
2019-03-05,497891
2019-03-06,489875
2019-03-07,500611
2019-03-08,500611
2019-03-09,499742
2019-03-10,502240
2019-03-11,484621
2019-03-12,468960
2019-03-13,468960
2019-03-14,456935
2019-03-15,456935
2019-03-16,448768
2019-03-17,444455
2019-03-18,444455
2019-03-19,438479
2019-03-20,453582
2019-03-21,448830
2019-03-22,448830
2019-03-23,435902
2019-03-24,442549
2019-03-25,442549
2019-03-26,440123
2019-03-27,440123
