date_obj,Raw%20dark%20crab price
2018-04-16,874
2018-04-17,874
2018-04-18,870
2018-04-19,870
2018-04-20,870
2018-04-21,870
2018-04-22,870
2018-04-23,870
2018-04-24,870
2018-04-25,881
2018-04-26,881
2018-04-27,881
2018-04-28,881
2018-04-29,881
2018-04-30,881
2018-05-01,865
2018-05-02,865
2018-05-03,865
2018-05-04,865
2018-05-05,865
2018-05-06,865
2018-05-07,865
2018-05-08,866
2018-05-09,866
2018-05-10,866
2018-05-11,866
2018-05-12,866
2018-05-13,866
2018-05-14,846
2018-05-15,846
2018-05-16,846
2018-05-17,846
2018-05-18,846
2018-05-19,846
2018-05-20,838
2018-05-21,838
2018-05-22,838
2018-05-23,838
2018-05-24,838
2018-05-25,838
2018-05-26,851
2018-05-27,851
2018-05-28,851
2018-05-29,851
2018-05-30,851
2018-05-31,851
2018-06-01,876
2018-06-02,876
2018-06-03,876
2018-06-04,876
2018-06-05,876
2018-06-06,909
2018-06-07,909
2018-06-08,909
2018-06-09,909
2018-06-10,909
2018-06-11,909
2018-06-12,880
2018-06-13,880
2018-06-14,880
2018-06-15,880
2018-06-16,880
2018-06-17,869
2018-06-18,869
2018-06-19,869
2018-06-20,869
2018-06-21,869
2018-06-22,900
2018-06-23,900
2018-06-24,900
2018-06-25,900
2018-06-26,900
2018-06-27,937
2018-06-28,937
2018-06-29,937
2018-06-30,937
2018-07-01,937
2018-07-02,971
2018-07-03,971
2018-07-04,971
2018-07-05,971
2018-07-06,971
2018-07-07,1010
2018-07-08,1010
2018-07-09,1010
2018-07-10,1010
2018-07-11,1047
2018-07-12,1047
2018-07-13,1047
2018-07-14,1047
2018-07-15,1047
2018-07-16,1044
2018-07-17,1044
2018-07-18,1044
2018-07-19,1044
2018-07-20,1089
2018-07-21,1089
2018-07-22,1089
2018-07-23,1089
2018-07-24,1135
2018-07-25,1135
2018-07-26,1135
2018-07-27,1135
2018-07-28,1135
2018-07-29,1173
2018-07-30,1173
2018-07-31,1173
2018-08-01,1173
2018-08-02,1173
2018-08-03,1195
2018-08-04,1195
2018-08-05,1195
2018-08-06,1225
2018-08-07,1225
2018-08-08,1225
2018-08-09,1225
2018-08-10,1258
2018-08-11,1258
2018-08-12,1258
2018-08-14,1297
2018-08-16,1297
2018-08-17,1255
2018-08-18,1255
2018-08-19,1255
2018-08-20,1255
2018-08-21,1255
2018-08-22,1194
2018-08-23,1194
2018-08-24,1194
2018-08-25,1194
2018-08-26,1194
2018-08-27,1134
2018-08-28,1134
2018-08-29,1134
2018-08-30,1134
2018-08-31,1134
2018-09-01,1112
2018-09-02,1112
2018-09-03,1112
2018-09-04,1112
2018-09-05,1112
2018-09-06,1093
2018-09-07,1093
2018-09-08,1093
2018-09-09,1093
2018-09-10,1109
2018-09-11,1109
2018-09-12,1109
2018-09-13,1109
2018-09-14,1109
2018-09-15,1109
2018-09-16,1088
2018-09-17,1088
2018-09-18,1088
2018-09-19,1088
2018-09-20,1088
2018-09-21,1088
2018-09-22,1081
2018-09-23,1081
2018-09-24,1081
2018-09-25,1081
2018-09-26,1081
2018-09-27,1081
2018-09-28,1059
2018-09-29,1059
2018-09-30,1059
2018-10-02,1059
2018-10-03,1033
2018-10-04,1033
2018-10-05,1033
2018-10-06,1033
2018-10-07,1033
2018-10-08,1038
2018-10-09,1038
2018-10-10,1038
2018-10-11,1038
2018-10-12,1038
2018-10-13,1038
2018-10-14,1077
2018-10-15,1077
2018-10-16,1077
2018-10-17,1077
2018-10-18,1077
2018-10-19,1115
2018-10-20,1115
2018-10-21,1115
2018-10-22,1115
2018-10-23,1115
2018-10-24,1164
2018-10-25,1164
2018-10-26,1164
2018-10-27,1164
2018-10-28,1219
2018-10-29,1219
2018-10-30,1219
2018-10-31,1219
2018-11-01,1219
2018-11-03,1250
2018-11-04,1250
2018-11-05,1250
2018-11-06,1240
2018-11-07,1240
2018-11-08,1240
2018-11-09,1240
2018-11-10,1240
2018-11-11,1221
2018-11-12,1221
2018-11-13,1221
2018-11-14,1221
2018-11-15,1178
2018-11-16,1178
2018-11-17,1178
2018-11-18,1178
2018-11-19,1178
2018-11-20,1147
2018-11-21,1147
2018-11-22,1147
2018-11-23,1147
2018-11-24,1124
2018-11-25,1124
2018-11-26,1124
2018-11-27,1124
2018-11-28,1100
2018-11-29,1100
2018-12-01,1100
2018-12-02,1130
2018-12-03,1130
2018-12-04,1130
2018-12-05,1130
2018-12-07,1153
2018-12-09,1153
2018-12-10,1113
2018-12-11,1113
2018-12-12,1113
2018-12-13,1113
2018-12-14,1113
2018-12-15,1134
2018-12-16,1134
2018-12-17,1134
2018-12-18,1175
2018-12-19,1175
2018-12-20,1175
2018-12-21,1175
2018-12-22,1175
2018-12-23,1181
2018-12-24,1181
2018-12-25,1181
2018-12-26,1181
2018-12-27,1230
2018-12-28,1230
2018-12-29,1230
2018-12-30,1281
2018-12-31,1281
2019-01-01,1281
2019-01-02,1317
2019-01-03,1317
2019-01-04,1317
2019-01-05,1329
2019-01-06,1329
2019-01-08,1329
2019-01-10,1292
2019-01-11,1292
2019-01-12,1292
2019-01-13,1270
2019-01-14,1270
2019-01-15,1270
2019-01-16,1270
2019-01-17,1316
2019-01-18,1316
2019-01-19,1316
2019-01-20,1364
2019-01-21,1364
2019-01-22,1364
2019-01-23,1414
2019-01-24,1414
2019-01-25,1414
2019-01-26,1414
2019-01-27,1445
2019-01-28,1445
2019-01-29,1445
2019-01-30,1445
2019-01-31,1445
2019-02-01,1450
2019-02-02,1450
2019-02-03,1450
2019-02-04,1450
2019-02-05,1410
2019-02-06,1410
2019-02-07,1410
2019-02-08,1410
2019-02-09,1410
2019-02-10,1344
2019-02-11,1344
2019-02-12,1344
2019-02-13,1344
2019-02-14,1344
2019-02-15,1276
2019-02-16,1276
2019-02-17,1276
2019-02-18,1276
2019-02-19,1276
2019-02-20,1212
2019-02-21,1212
2019-02-22,1212
2019-02-23,1212
2019-02-24,1186
2019-02-25,1186
2019-02-26,1186
2019-02-27,1186
2019-02-28,1186
2019-03-01,1186
2019-03-02,1186
2019-03-03,1186
2019-03-04,1183
2019-03-05,1183
2019-03-06,1183
2019-03-07,1183
2019-03-08,1180
