date_obj,Light%20trousers price
2019-03-25,325630
2019-03-26,325630
2019-03-27,325630
2019-03-28,325630
2019-03-29,325630
2019-03-30,325630
2019-03-31,325630
2019-04-01,340432
2019-04-02,340432
2019-04-03,340432
2019-04-04,340432
2019-04-05,340432
2019-04-06,340432
2019-04-07,340432
2019-04-08,340432
2019-04-09,340432
2019-04-10,355696
2019-04-11,355696
2019-04-12,355696
2019-04-13,355696
2019-04-14,355696
2019-04-15,355696
2019-04-16,355878
2019-04-17,355878
2019-04-18,355878
2019-04-19,355878
2019-04-20,355878
2019-04-21,355878
2019-04-22,355878
2019-04-23,355878
2019-04-24,357079
2019-04-25,357079
2019-04-26,357079
2019-04-27,357079
2019-04-28,357079
2019-04-29,357079
2019-04-30,357079
2019-05-01,357079
2019-05-02,354055
2019-05-03,354055
2019-05-04,354055
2019-05-05,354055
2019-05-06,354055
2019-05-07,354055
2019-05-08,354055
2019-05-09,354055
2019-05-10,354055
2019-05-11,346711
2019-05-12,346711
2019-05-13,346711
2019-05-14,346711
2019-05-15,346711
2019-05-16,346711
2019-05-17,346711
2019-05-18,342461
2019-05-19,342461
2019-05-20,342461
2019-05-21,342461
2019-05-22,342461
2019-05-23,342461
2019-05-24,342461
2019-05-25,342461
2019-05-26,342461
2019-05-27,342461
2019-05-28,325415
2019-05-29,325415
2019-05-30,325415
2019-05-31,325415
2019-06-01,325415
2019-06-02,325415
2019-06-03,325415
2019-06-04,325415
2019-06-05,325415
2019-06-06,315631
2019-06-07,315631
2019-06-08,315631
2019-06-09,315631
2019-06-10,315631
2019-06-11,315631
2019-06-12,315631
2019-06-13,315631
2019-06-14,315631
2019-06-15,312539
2019-06-16,312539
2019-06-17,312539
2019-06-18,312539
2019-06-19,312539
2019-06-20,312539
2019-06-21,312539
2019-06-22,312539
2019-06-23,305136
2019-06-24,305136
2019-06-25,305136
2019-06-26,305136
2019-06-27,305136
2019-06-28,305136
2019-06-29,305136
2019-06-30,305136
2019-07-01,305136
2019-07-02,305136
2019-07-03,305136
2019-07-04,305136
2019-07-05,291258
2019-07-06,291258
2019-07-07,291258
2019-07-08,291258
2019-07-09,291258
2019-07-10,291258
2019-07-11,291258
2019-07-12,291258
2019-07-13,291258
2019-07-14,277929
2019-07-15,277929
2019-07-16,277929
2019-07-17,277929
2019-07-18,277929
2019-07-19,277929
2019-07-20,277929
2019-07-21,277929
2019-07-22,277929
2019-07-23,264556
2019-07-24,264556
2019-07-25,264556
2019-07-26,264556
2019-07-27,264556
2019-07-28,264556
2019-07-29,264556
2019-07-30,264556
2019-07-31,254603
2019-08-01,254603
2019-08-02,254603
2019-08-03,254603
2019-08-04,254603
2019-08-05,254603
2019-08-06,254603
2019-08-07,254603
2019-08-08,254092
2019-08-09,254092
2019-08-10,254092
2019-08-11,254092
2019-08-12,254092
2019-08-13,254092
2019-08-14,254092
2019-08-15,254092
2019-08-16,253521
2019-08-17,253521
2019-08-18,253521
2019-08-19,253521
2019-08-20,253521
2019-08-21,253521
2019-08-22,253521
2019-08-23,253521
2019-08-24,253521
2019-08-24,253521
2019-08-25,253521
2019-08-25,253521
2019-08-26,260120
2019-08-26,260120
2019-08-27,260120
2019-08-27,260120
2019-08-28,260120
2019-08-29,260120
2019-08-30,260120
2019-08-31,260120
2019-09-01,260120
2019-09-02,260120
2019-09-03,260120
2019-09-04,260120
2019-09-05,268955
2019-09-06,268955
2019-09-07,268955
2019-09-08,268955
2019-09-09,268955
2019-09-10,268955
2019-09-11,268955
2019-09-12,268955
2019-09-13,268955
2019-09-14,268955
2019-09-15,268955
2019-09-16,268955
2019-09-17,274915
2019-09-18,274915
2019-09-19,274915
2019-09-20,274915
2019-09-21,274915
2019-09-22,274915
2019-09-23,274915
2019-09-24,274915
2019-09-25,274915
2019-09-26,274915
2019-09-27,274915
2019-09-28,283605
2019-09-29,283605
2019-09-30,283605
2019-10-01,283605
2019-10-02,283605
2019-10-03,283605
2019-10-04,283605
2019-10-05,283605
2019-10-06,283605
2019-10-07,283605
2019-10-08,294276
2019-10-09,294276
2019-10-10,294276
2019-10-11,294276
2019-10-12,294276
2019-10-13,294276
2019-10-14,294276
2019-10-15,294276
2019-10-16,294276
2019-10-17,294276
2019-10-18,301254
2019-10-19,301254
2019-10-20,301254
2019-10-21,301254
2019-10-22,301254
2019-10-23,301254
2019-10-24,301254
2019-10-25,301254
2019-10-26,301254
2019-10-27,301254
2019-10-28,301254
2019-10-29,301254
2019-10-30,297779
2019-10-31,297779
2019-11-01,297779
2019-11-02,297779
2019-11-03,297779
2019-11-04,297779
2019-11-05,297779
2019-11-06,297779
2019-11-07,297779
2019-11-08,297779
2019-11-09,285730
2019-11-10,285730
2019-11-11,285730
2019-11-12,285730
2019-11-13,285730
2019-11-14,285730
2019-11-15,285730
2019-11-16,285730
2019-11-17,285730
2019-11-18,285730
2019-11-19,285730
2019-11-20,276170
2019-11-21,276170
2019-11-22,276170
2019-11-23,276170
2019-11-24,276170
2019-11-25,276170
2019-11-26,276170
2019-11-27,276170
2019-11-28,276170
2019-11-29,276170
2019-11-30,276170
2019-12-01,276170
2019-12-02,271845
2019-12-03,271845
2019-12-04,271845
2019-12-05,271845
2019-12-06,271845
2019-12-07,271845
2019-12-08,271845
2019-12-09,271845
2019-12-10,271845
2019-12-11,271845
2019-12-12,263614
2019-12-13,263614
2019-12-14,263614
2019-12-15,263614
2019-12-16,263614
2019-12-17,263614
2019-12-18,263614
2019-12-19,263614
2019-12-20,263614
2019-12-21,263614
2019-12-22,263713
2019-12-23,263713
2019-12-24,263713
2019-12-25,263713
2019-12-26,263713
2019-12-27,263713
2019-12-28,263713
2019-12-29,263713
2019-12-30,263713
2019-12-31,263713
2020-01-01,265476
2020-01-02,265476
2020-01-03,265476
2020-01-04,265476
2020-01-05,265476
2020-01-06,265476
2020-01-07,265476
2020-01-08,265476
2020-01-09,265476
2020-01-10,265476
2020-01-11,265476
2020-01-12,267386
2020-01-13,267386
2020-01-14,267386
2020-01-15,267386
2020-01-16,267386
2020-01-17,267386
2020-01-18,267386
2020-01-19,267386
2020-01-20,267386
2020-01-21,267386
2020-01-22,267386
2020-01-23,261598
2020-01-24,261598
2020-01-25,261598
2020-01-26,261598
2020-01-27,261598
2020-01-28,261598
2020-01-29,261598
2020-01-30,261598
2020-01-31,261598
2020-02-01,253165
2020-02-02,253165
2020-02-03,253165
2020-02-04,253165
2020-02-05,253165
2020-02-06,253165
2020-02-07,253165
2020-02-08,253165
2020-02-09,242640
2020-02-10,242640
2020-02-11,242640
2020-02-12,242640
2020-02-13,242640
2020-02-14,242640
2020-02-15,242640
2020-02-16,242640
2020-02-17,242640
2020-02-18,242640
2020-02-19,231010
2020-02-20,231010
2020-02-21,231010
2020-02-22,231010
2020-02-23,231010
2020-02-24,231010
2020-02-25,219720
2020-02-26,219720
2020-02-27,219720
2020-02-28,219720
2020-02-29,219720
2020-03-01,219720
2020-03-02,219720
2020-03-03,219720
2020-03-04,209236
2020-03-05,209236
2020-03-06,209236
2020-03-07,209236
2020-03-08,209236
2020-03-09,209236
2020-03-10,209236
2020-03-11,209236
2020-03-12,199091
2020-03-13,199091
2020-03-14,199091
2020-03-15,199091
2020-03-16,199091
2020-03-17,199091
2020-03-18,199091
2020-03-19,199091
2020-03-20,190532
2020-03-21,190532
2020-03-22,190532
2020-03-23,190532
2020-03-24,190532
2020-03-25,190532
2020-03-26,190532
2020-03-27,181398
2020-03-28,181398
2020-03-29,181398
2020-03-30,181398
2020-03-31,181398
2020-04-01,181398
2020-04-02,172815
2020-04-03,172815
2020-04-04,172815
2020-04-05,172815
2020-04-06,172815
2020-04-07,172815
2020-04-08,165623
2020-04-09,165623
2020-04-10,165623
2020-04-11,165623
2020-04-12,165623
2020-04-13,165623
2020-04-14,160568
2020-04-15,160568
2020-04-16,160568
2020-04-17,160568
2020-04-18,160568
2020-04-19,153719
2020-04-20,153719
2020-04-21,153719
2020-04-22,153719
