date_obj,Diamond%20necklace price
2019-02-09,2067
2019-02-10,2067
2019-02-11,2067
2019-02-12,2067
2019-02-13,2074
2019-02-14,2074
2019-02-15,2074
2019-02-16,2074
2019-02-17,2074
2019-02-18,2074
2019-02-19,2067
2019-02-20,2067
2019-02-21,2067
2019-02-22,2067
2019-02-23,2067
2019-02-24,2116
2019-02-25,2116
2019-02-26,2116
2019-02-27,2116
2019-02-28,2116
2019-03-01,2116
2019-03-02,2116
2019-03-03,2116
2019-03-04,2116
2019-03-05,2094
2019-03-06,2094
2019-03-07,2094
2019-03-08,2094
2019-03-09,2094
2019-03-10,2094
2019-03-11,2099
2019-03-12,2099
2019-03-13,2099
2019-03-14,2099
2019-03-15,2099
2019-03-16,2080
2019-03-17,2080
2019-03-18,2080
2019-03-19,2080
2019-03-20,2112
2019-03-21,2112
2019-03-22,2112
2019-03-23,2112
2019-03-24,2112
2019-03-25,2137
2019-03-26,2137
2019-03-27,2137
2019-03-28,2137
2019-03-29,2137
2019-03-30,2085
2019-03-31,2085
2019-04-01,2085
2019-04-02,2085
2019-04-03,2085
2019-04-04,2063
2019-04-05,2063
2019-04-06,2063
2019-04-07,2063
2019-04-08,2063
2019-04-09,2063
2019-04-10,2069
2019-04-11,2069
2019-04-12,2069
2019-04-13,2069
2019-04-14,2069
2019-04-15,2069
2019-04-16,2045
2019-04-17,2045
2019-04-18,2045
2019-04-19,2045
2019-04-20,2045
2019-04-21,2045
2019-04-22,2049
2019-04-23,2049
2019-04-24,2049
2019-04-25,2049
2019-04-26,2049
2019-04-27,2049
2019-04-28,2058
2019-04-29,2058
2019-04-30,2058
2019-05-01,2058
2019-05-02,2058
2019-05-03,2058
2019-05-04,2068
